ID,Glucose,Sodium Acetate,Magnesium Sulfate
1,3.206942,0.9093555,0.59088963
2,6.820968,1.9626715,1.8057367
3,4.2109833,0.4749824,1.159761
4,3.9494057,0.9602539,0.58233213
5,9.441555,0.9913357,1.2850404
6,6.6294675,1.9397913,1.1668293
7,6.0383487,0.6115854,0.57376677
8,6.832725,1.9313495,1.4160359
9,8.387343,1.5199729,1.2162068
10,8.899958,0.84945285,0.57283795
11,8.958564,1.0122796,1.1139535
12,4.4963427,0.7689858,0.8594833
13,5.1445684,1.0395755,0.89195484
14,5.276322,0.7798101,1.4203427
15,4.602547,0.75854886,0.8858321
16,6.8121853,0.93893343,0.8554116
17,5.0242877,0.7725949,0.8802416
18,5.4759693,0.8077588,1.0323977
19,5.113387,1.0670446,0.8779407
20,4.4841647,0.7334469,0.8804442
21,5.011845,0.7544421,0.85254407
22,6.276666,0.79168195,0.93048036
23,2.992395,1.398347,0.5742477
24,4.903046,1.0610268,1.056009
25,4.947924,0.9140586,0.8971729
26,5.4680057,0.7711012,1.1425653
27,6.1247787,0.9321407,0.8666658
28,6.127435,0.89705193,1.0147452
29,6.9942207,0.8799255,0.8903154
30,3.5128412,0.46883807,0.5750191
31,5.3868136,0.8057122,1.202679
32,6.994561,0.9703275,1.1922433
33,5.3810415,1.2473687,1.2744586
34,5.504425,1.132055,0.7580549
35,7.2104964,1.3994523,1.104665
36,6.944467,0.52426195,1.0531324
37,7.2472463,0.9743585,0.90181476
38,5.882788,1.3669395,0.7337932
39,4.2070594,1.1970507,0.7434811
40,6.696289,1.1656994,1.8038008
41,5.2277083,0.72683775,1.0018392
42,3.7693536,1.316837,0.5695117
43,6.7877774,0.51087046,1.4100063
44,3.5117023,0.7667525,0.94643897
45,2.8739557,1.2074951,0.7717298
46,6.7272754,0.58052725,1.5520824
47,4.0199885,0.5125664,1.425577
48,4.7243342,0.96311456,1.0262544
49,5.037282,0.8071429,1.0133731
50,5.8494916,0.8877946,1.69328
51,3.3769617,1.1436654,2.081083
52,4.758991,0.75431836,0.9209166
53,4.8874235,0.7590045,0.8884488
54,4.153507,1.5156978,1.2955984
55,4.7271943,0.8945083,0.9309369
56,4.1796727,1.2178367,1.7513436
57,4.6035066,1.4974043,1.6111814
58,3.8903065,1.2534937,1.675488
59,4.5481887,0.47461638,1.6018745
60,6.330375,0.7094696,0.6719079
61,3.7154663,0.7713079,1.5622413
62,3.675912,1.1395104,1.777734
63,4.6928544,1.1088047,0.7449262
64,6.3172793,0.71999,1.819959
65,6.9689603,1.4206163,0.6575294
66,5.673829,0.72583437,0.6127199
67,6.865556,1.2725066,1.659525
68,4.490536,1.1058657,0.73402923
69,5.5245147,0.7548871,0.74561733
70,6.305863,0.7353116,0.88048166
71,8.60813,0.7780032,0.99054664
72,6.2401104,0.9791859,1.1048952
73,5.4271746,0.92615896,1.2348732
74,6.353801,0.5196924,1.1608664
75,5.311696,0.8307069,1.1298858
76,6.6006646,0.48388407,1.2932099
77,3.9250264,0.694256,0.58625585
78,5.1476254,0.7356133,1.0251682
79,2.8771572,1.4257733,0.9655428
80,3.4949267,0.48902643,1.4193432
81,7.4356394,0.83581334,0.6852037
82,3.6046324,0.91141367,1.927396
83,6.5793905,0.8802111,1.8530705
84,5.332935,1.0453286,1.4831576
85,3.7082455,1.0755843,1.5612811
86,5.185987,0.8184735,0.8869066
87,5.22489,0.91224575,0.75345105
88,4.730499,0.7334803,0.85537344
89,8.402191,1.2018785,1.0836052
90,5.102439,0.9160379,0.92359525
91,6.5132127,0.8711417,0.885295
92,4.7324524,0.79855865,1.0313709
93,4.8563933,0.47174147,1.1025617
94,3.909436,0.48241147,0.91366017
95,3.4926052,1.3918766,1.117882
96,4.434951,1.8722351,1.1842426
